id,nombre
82-21,CASTELLANOS
82-28,CONSTITUCIÓN
82-35,GARAY
82-42,GENERAL LÓPEZ
82-49,GENERAL OBLIGADO
82-56,IRIONDO
82-63,LA CAPITAL
82-7,BELGRANO
82-70,LAS COLONIAS
82-77,9 DE JULIO
82-84,ROSARIO
82-91,SAN CRISTÓBAL
82-98,SAN JAVIER
86-105,LORETO
86-112,MITRE
86-119,MORENO
86-126,OJO DE AGUA
86-133,PELLEGRINI
86-14,ALBERDI
86-140,QUEBRACHOS
86-147,RÍO HONDO
86-154,RIVADAVIA
86-161,ROBLES
86-168,SALAVINA
86-175,SAN MARTÍN
86-182,SARMIENTO
86-189,SILÍPICA
86-21,ATAMISQUI
86-28,AVELLANEDA
86-35,BANDA
86-42,BELGRANO
86-49,CAPITAL
86-56,COPO
86-63,CHOYA
86-7,AGUIRRE
86-70,FIGUEROA
86-77,GENERAL TABOADA
86-84,GUASAYÁN
86-91,JIMÉNEZ
86-98,JUAN F. IBARRA
90-105,TAFÍ VIEJO
90-112,TRANCAS
90-119,YERBA BUENA
90-14,CRUZ ALTA
90-21,CHICLIGASTA
90-28,FAMAILLÁ
90-35,GRANEROS
90-42,JUAN BAUTISTA ALBERDI
90-49,LA COCHA
90-56,LEALES
90-63,LULES
90-7,BURRUYACÚ
90-70,MONTEROS
90-77,RÍO CHICO
90-84,CAPITAL
90-91,SIMOCA
90-98,TAFÍ DEL VALLE
94-14,USHUAIA
94-7,RÍO GRANDE
