anio,provincia_id,categorias,sexo,grupo_edad,cantidad
2021,26,Tumores ,femenino,75 o mas,143.0
2013,6,Tumores ,masculino,75 o mas,4451.0
2015,30,Tumores ,femenino,75 o mas,401.0
2011,66,Tumores ,femenino,75 o mas,196.0
2021,34,Tumores ,masculino,75 o mas,103.0
2015,90,Tumores ,masculino,55-74,480.0
2009,26,Tumores ,masculino,75 o mas,99.0
2013,58,Tumores ,masculino,55-74,216.0
2020,82,Tumores ,femenino,75 o mas,1139.0
2008,54,Tumores ,masculino,75 o mas,193.0
2007,2,Tumores ,femenino,55-74,1383.0
2010,90,Tumores ,masculino,75 o mas,304.0
2008,90,Tumores ,masculino,55-74,401.0
2016,6,Tumores ,masculino,Sin Información,129.0
2008,6,Tumores ,femenino,55-74,4411.0
2012,26,Tumores ,masculino,55-74,199.0
2008,6,Tumores ,desconocido,55-74,13.0
2011,46,Tumores ,masculino,55-74,111.0
2009,30,Tumores ,masculino,55-74,602.0
2019,50,Tumores ,masculino,55-74,769.0
2008,6,Tumores ,femenino,Sin Información,21.0
2009,14,Tumores ,masculino,75 o mas,1073.0
2005,34,Tumores ,femenino,55-74,111.0
2017,6,Tumores ,masculino,Sin Información,132.0
2020,78,Tumores ,femenino,55-74,76.0
2010,38,Tumores ,masculino,55-74,176.0
2018,2,Tumores ,masculino,75 o mas,1188.0
2015,6,Tumores ,femenino,Sin Información,88.0
2017,14,Tumores ,femenino,55-74,1163.0
2021,50,Tumores ,masculino,55-74,669.0
2019,54,Tumores ,masculino,15-34,24.0
2020,6,Tumores ,femenino,75 o mas,4088.0
2019,30,Tumores ,masculino,75 o mas,428.0
2007,34,Tumores ,masculino,75 o mas,84.0
2022,82,Tumores ,femenino,55-74,1231.0
2006,38,Tumores ,femenino,75 o mas,91.0
2020,38,Tumores ,femenino,75 o mas,118.0
2020,14,Tumores ,femenino,75 o mas,1172.0
2011,2,Tumores ,masculino,35-54,316.0
2018,50,Tumores ,femenino,55-74,591.0
2019,14,Tumores ,femenino,55-74,1162.0
2016,30,Tumores ,masculino,15-34,28.0
2010,70,Tumores ,femenino,55-74,187.0
2014,54,Tumores ,femenino,55-74,264.0
2006,2,Tumores ,masculino,75 o mas,1583.0
2018,26,Tumores ,masculino,55-74,201.0
2020,6,Tumores ,desconocido,55-74,187.0
2019,18,Tumores ,femenino,75 o mas,238.0
2018,82,Tumores ,femenino,75 o mas,1131.0
2006,30,Tumores ,masculino,75 o mas,345.0
2022,70,Tumores ,femenino,35-54,75.0
2020,74,Tumores ,masculino,75 o mas,139.0
2013,82,Tumores ,femenino,35-54,409.0
2012,50,Tumores ,masculino,75 o mas,551.0
2013,86,Tumores ,masculino,55-74,237.0
2016,18,Tumores ,femenino,55-74,300.0
2022,70,Tumores ,femenino,55-74,192.0
2021,6,Tumores ,masculino,55-74,6087.0
2014,50,Tumores ,femenino,75 o mas,543.0
2016,66,Tumores ,masculino,35-54,76.0
2021,42,Tumores ,femenino,75 o mas,133.0
2022,74,Tumores ,femenino,55-74,179.0
2011,18,Tumores ,femenino,55-74,281.0
2014,10,Tumores ,masculino,55-74,95.0
2013,6,Tumores ,femenino,55-74,4973.0
2013,22,Tumores ,masculino,75 o mas,216.0
2010,2,Tumores ,femenino,75 o mas,1757.0
2019,50,Tumores ,femenino,75 o mas,502.0
2021,34,Tumores ,femenino,55-74,141.0
2015,6,Tumores ,masculino,75 o mas,5096.0
2011,58,Tumores ,masculino,75 o mas,131.0
2017,14,Tumores ,masculino,75 o mas,1094.0
2020,70,Tumores ,femenino,75 o mas,163.0
2016,66,Tumores ,femenino,75 o mas,223.0
2021,54,Tumores ,masculino,15-34,21.0
2019,62,Tumores ,femenino,75 o mas,197.0
2006,14,Tumores ,femenino,55-74,958.0
2022,26,Tumores ,masculino,75 o mas,150.0
2011,54,Tumores ,femenino,75 o mas,130.0
2019,26,Tumores ,masculino,75 o mas,159.0
2018,22,Tumores ,femenino,55-74,302.0
2009,6,Tumores ,femenino,55-74,4395.0
2008,90,Tumores ,femenino,75 o mas,280.0
2010,10,Tumores ,masculino,75 o mas,67.0
2020,30,Tumores ,femenino,55-74,455.0
2009,50,Tumores ,masculino,75 o mas,544.0
2008,46,Tumores ,femenino,55-74,55.0
2017,58,Tumores ,femenino,75 o mas,136.0
2022,2,Tumores ,masculino,75 o mas,1092.0
2008,6,Tumores ,femenino,15-34,230.0
2017,38,Tumores ,masculino,55-74,153.0
2006,50,Tumores ,masculino,55-74,599.0
2014,62,Tumores ,femenino,55-74,207.0
2006,30,Tumores ,femenino,75 o mas,328.0
2018,90,Tumores ,femenino,55-74,374.0
2005,14,Tumores ,masculino,15-34,50.0
2020,58,Tumores ,femenino,55-74,202.0
2021,22,Tumores ,masculino,55-74,404.0
2006,99,Tumores ,masculino,55-74,46.0
2015,26,Tumores ,masculino,55-74,211.0
2019,26,Tumores ,femenino,75 o mas,122.0
2016,99,Tumores ,masculino,55-74,55.0
2009,62,Tumores ,femenino,55-74,174.0
2012,34,Tumores ,masculino,55-74,172.0
2011,62,Tumores ,femenino,55-74,159.0
2016,42,Tumores ,femenino,55-74,123.0
2011,6,Tumores ,femenino,75 o mas,4273.0
2022,42,Tumores ,masculino,55-74,180.0
2006,62,Tumores ,masculino,55-74,226.0
2009,70,Tumores ,femenino,75 o mas,179.0
2008,2,Tumores ,femenino,75 o mas,1684.0
2005,50,Tumores ,masculino,55-74,574.0
2016,94,Tumores ,femenino,75 o mas,22.0
2014,86,Tumores ,femenino,55-74,172.0
2007,66,Tumores ,femenino,75 o mas,171.0
2017,50,Tumores ,femenino,75 o mas,533.0
2011,34,Tumores ,masculino,75 o mas,104.0
2012,10,Tumores ,masculino,75 o mas,77.0
2021,50,Tumores ,femenino,75 o mas,500.0
2016,2,Tumores ,masculino,75 o mas,1425.0
2016,2,Tumores ,femenino,75 o mas,1618.0
2016,50,Tumores ,masculino,75 o mas,549.0
2017,58,Tumores ,masculino,55-74,205.0
2019,22,Tumores ,femenino,55-74,317.0
2015,14,Tumores ,masculino,55-74,1459.0
2007,6,Tumores ,masculino,75 o mas,4504.0
2006,22,Tumores ,masculino,75 o mas,200.0
2010,6,Tumores ,femenino,75 o mas,4416.0
2014,94,Tumores ,femenino,55-74,33.0
2014,82,Tumores ,femenino,55-74,1175.0
2021,54,Tumores ,masculino,55-74,407.0
2012,2,Tumores ,femenino,75 o mas,1663.0
2011,86,Tumores ,masculino,55-74,214.0
2013,90,Tumores ,masculino,55-74,441.0
2010,18,Tumores ,femenino,55-74,268.0
2010,82,Tumores ,masculino,75 o mas,1287.0
2005,82,Tumores ,masculino,55-74,1598.0
2021,82,Tumores ,masculino,55-74,1525.0
2018,30,Tumores ,masculino,55-74,667.0
2012,70,Tumores ,femenino,55-74,175.0
2020,82,Tumores ,masculino,55-74,1461.0
2012,38,Tumores ,femenino,75 o mas,95.0
2019,90,Tumores ,femenino,75 o mas,316.0
2013,66,Tumores ,masculino,55-74,310.0
2020,14,Tumores ,masculino,55-74,1332.0
2011,50,Tumores ,masculino,55-74,680.0
2018,18,Tumores ,masculino,75 o mas,236.0
2016,82,Tumores ,masculino,55-74,1681.0
2007,62,Tumores ,masculino,75 o mas,148.0
2006,82,Tumores ,femenino,75 o mas,1234.0
2009,38,Tumores ,masculino,75 o mas,109.0
2014,38,Tumores ,femenino,55-74,141.0
2017,22,Tumores ,femenino,75 o mas,196.0
2005,6,Tumores ,masculino,75 o mas,4497.0
2014,82,Tumores ,masculino,75 o mas,1232.0
2015,34,Tumores ,masculino,75 o mas,127.0
2008,2,Tumores ,masculino,55-74,1593.0
2013,70,Tumores ,femenino,75 o mas,160.0
2012,2,Tumores ,masculino,15-34,51.0
2021,14,Tumores ,masculino,75 o mas,1167.0
2016,66,Tumores ,masculino,15-34,26.0
2008,22,Tumores ,femenino,75 o mas,163.0
2020,30,Tumores ,masculino,55-74,570.0
2013,54,Tumores ,masculino,75 o mas,188.0
2015,2,Tumores ,femenino,55-74,1415.0
2014,78,Tumores ,masculino,75 o mas,68.0
2015,2,Tumores ,masculino,35-54,272.0
2018,6,Tumores ,femenino,75 o mas,4438.0
2009,2,Tumores ,femenino,75 o mas,1773.0
2010,14,Tumores ,femenino,75 o mas,1132.0
2016,58,Tumores ,masculino,75 o mas,159.0
2017,70,Tumores ,masculino,75 o mas,167.0
2008,58,Tumores ,femenino,55-74,133.0
2010,14,Tumores ,masculino,75 o mas,1148.0
2020,18,Tumores ,femenino,55-74,311.0
2015,62,Tumores ,masculino,15-34,8.0
2020,26,Tumores ,masculino,55-74,240.0
2019,18,Tumores ,masculino,55-74,438.0
2015,10,Tumores ,masculino,75 o mas,36.0
2014,70,Tumores ,masculino,75 o mas,170.0
2021,38,Tumores ,masculino,55-74,151.0
2011,70,Tumores ,masculino,55-74,226.0
2022,50,Tumores ,masculino,75 o mas,534.0
2014,82,Tumores ,femenino,15-34,66.0
2022,22,Tumores ,femenino,35-54,160.0
2005,99,Tumores ,masculino,55-74,40.0
2008,62,Tumores ,masculino,75 o mas,173.0
2022,90,Tumores ,femenino,75 o mas,275.0
2013,50,Tumores ,femenino,75 o mas,478.0
2019,2,Tumores ,masculino,75 o mas,1195.0
2015,82,Tumores ,masculino,75 o mas,1222.0
2022,34,Tumores ,masculino,55-74,187.0
2012,66,Tumores ,femenino,75 o mas,207.0
2009,34,Tumores ,masculino,55-74,198.0
2021,30,Tumores ,masculino,75 o mas,408.0
2010,22,Tumores ,femenino,55-74,248.0
2020,50,Tumores ,masculino,75 o mas,548.0
2017,78,Tumores ,masculino,55-74,101.0
2010,50,Tumores ,masculino,75 o mas,514.0
2012,78,Tumores ,masculino,55-74,102.0
2016,6,Tumores ,masculino,15-34,287.0
2015,62,Tumores ,masculino,55-74,293.0
2019,82,Tumores ,femenino,75 o mas,1181.0
2017,6,Tumores ,femenino,75 o mas,4930.0
2021,58,Tumores ,femenino,75 o mas,162.0
2021,42,Tumores ,masculino,55-74,166.0
2006,58,Tumores ,femenino,55-74,110.0
2020,42,Tumores ,masculino,75 o mas,110.0
2012,66,Tumores ,masculino,75 o mas,260.0
2016,22,Tumores ,femenino,15-34,24.0
2021,18,Tumores ,femenino,55-74,348.0
2015,70,Tumores ,femenino,55-74,237.0
2022,54,Tumores ,masculino,75 o mas,228.0
2006,6,Tumores ,masculino,Sin Información,22.0
2022,6,Tumores ,masculino,15-34,257.0
2019,82,Tumores ,masculino,55-74,1566.0
2005,14,Tumores ,femenino,55-74,987.0
2009,14,Tumores ,femenino,75 o mas,1109.0
2017,38,Tumores ,femenino,75 o mas,128.0
2018,58,Tumores ,masculino,55-74,284.0
2018,90,Tumores ,masculino,75 o mas,291.0
2006,22,Tumores ,femenino,75 o mas,170.0
2019,70,Tumores ,femenino,75 o mas,160.0
2018,34,Tumores ,masculino,75 o mas,100.0
2007,30,Tumores ,femenino,55-74,385.0
2013,54,Tumores ,femenino,75 o mas,156.0
2015,14,Tumores ,femenino,75 o mas,1112.0
2015,22,Tumores ,masculino,55-74,400.0
2006,86,Tumores ,masculino,55-74,206.0
2006,70,Tumores ,masculino,55-74,224.0
2009,42,Tumores ,femenino,75 o mas,100.0
2007,18,Tumores ,femenino,55-74,238.0
2009,62,Tumores ,masculino,75 o mas,138.0
2013,74,Tumores ,masculino,55-74,175.0
2011,82,Tumores ,femenino,75 o mas,1342.0
2018,82,Tumores ,masculino,55-74,1523.0
2012,18,Tumores ,femenino,55-74,223.0
2011,90,Tumores ,femenino,55-74,358.0
2018,14,Tumores ,femenino,75 o mas,1140.0
2020,2,Tumores ,masculino,55-74,1169.0
2014,6,Tumores ,masculino,75 o mas,4583.0
2005,62,Tumores ,masculino,55-74,248.0
2016,14,Tumores ,masculino,75 o mas,1153.0
2005,14,Tumores ,masculino,55-74,1481.0
2020,6,Tumores ,masculino,Sin Información,142.0
2018,42,Tumores ,femenino,55-74,94.0
2021,66,Tumores ,femenino,75 o mas,242.0
2022,6,Tumores ,masculino,55-74,6228.0
2005,22,Tumores ,masculino,75 o mas,164.0
2020,66,Tumores ,masculino,55-74,340.0
2010,58,Tumores ,masculino,75 o mas,134.0
2007,82,Tumores ,femenino,55-74,1066.0
2005,26,Tumores ,masculino,55-74,172.0
2012,2,Tumores ,masculino,55-74,1502.0
2009,2,Tumores ,masculino,0-14,23.0
2015,50,Tumores ,femenino,0-14,7.0
2020,86,Tumores ,masculino,0-14,10.0
2015,90,Tumores ,masculino,0-14,9.0
2014,50,Tumores ,masculino,0-14,11.0
2017,6,Tumores ,masculino,0-14,112.0
2010,22,Tumores ,femenino,0-14,11.0
2013,6,Tumores ,femenino,15-34,290.0
2010,2,Tumores ,masculino,15-34,49.0
2013,74,Tumores ,masculino,15-34,8.0
2020,50,Tumores ,femenino,15-34,32.0
2018,18,Tumores ,femenino,15-34,26.0
2011,14,Tumores ,masculino,15-34,62.0
2009,2,Tumores ,masculino,15-34,43.0
2022,18,Tumores ,femenino,15-34,19.0
2015,90,Tumores ,masculino,15-34,23.0
2005,30,Tumores ,femenino,15-34,18.0
2011,94,Tumores ,masculino,15-34,3.0
2013,66,Tumores ,masculino,15-34,30.0
2010,78,Tumores ,masculino,35-54,23.0
2009,58,Tumores ,femenino,35-54,54.0
2005,14,Tumores ,femenino,35-54,346.0
2016,6,Tumores ,masculino,35-54,1365.0
2010,90,Tumores ,femenino,35-54,114.0
2022,6,Tumores ,masculino,35-54,1314.0
2008,50,Tumores ,masculino,35-54,127.0
2011,6,Tumores ,masculino,35-54,1380.0
2012,14,Tumores ,masculino,35-54,248.0
2019,6,Tumores ,masculino,35-54,1301.0
2015,2,Tumores ,femenino,35-54,341.0
2006,26,Tumores ,femenino,35-54,54.0
2021,18,Tumores ,femenino,35-54,135.0
2006,82,Tumores ,masculino,35-54,352.0
2005,82,Tumores ,femenino,35-54,374.0
2018,6,Tumores ,masculino,35-54,1334.0
2018,22,Tumores ,femenino,35-54,132.0
2015,54,Tumores ,masculino,35-54,91.0
2020,34,Tumores ,masculino,35-54,45.0
2011,90,Tumores ,femenino,35-54,132.0
2017,82,Tumores ,masculino,35-54,303.0
2015,90,Tumores ,masculino,35-54,81.0
2006,62,Tumores ,femenino,35-54,63.0
2009,6,Tumores ,femenino,35-54,1676.0
2017,14,Tumores ,femenino,35-54,379.0
2011,82,Tumores ,masculino,35-54,331.0
2019,10,Tumores ,femenino,35-54,44.0
2017,82,Tumores ,femenino,35-54,348.0
2016,90,Tumores ,masculino,35-54,83.0
2016,82,Tumores ,masculino,35-54,304.0
2022,30,Tumores ,femenino,35-54,160.0
2015,82,Tumores ,femenino,35-54,346.0
2007,82,Tumores ,femenino,35-54,327.0
2020,18,Tumores ,femenino,35-54,153.0
2012,74,Tumores ,femenino,35-54,48.0
2016,82,Tumores ,femenino,35-54,369.0
2015,58,Tumores ,masculino,35-54,43.0
2021,30,Tumores ,femenino,35-54,136.0
2021,90,Tumores ,femenino,35-54,152.0
2021,50,Tumores ,masculino,35-54,148.0
2021,66,Tumores ,masculino,35-54,69.0
2019,22,Tumores ,masculino,35-54,87.0
2008,58,Tumores ,femenino,35-54,64.0
2019,78,Tumores ,masculino,35-54,26.0
2005,18,Tumores ,masculino,35-54,93.0
2008,58,Tumores ,masculino,35-54,51.0
2007,58,Tumores ,masculino,35-54,52.0
2022,46,Tumores ,femenino,35-54,35.0
2020,30,Tumores ,femenino,35-54,149.0
2015,62,Tumores ,masculino,35-54,65.0
2016,18,Tumores ,femenino,35-54,132.0
2007,22,Tumores ,femenino,35-54,116.0
2005,14,Tumores ,masculino,35-54,316.0
2017,34,Tumores ,femenino,35-54,66.0
2010,66,Tumores ,masculino,35-54,65.0
2022,50,Tumores ,femenino,35-54,210.0
2011,50,Tumores ,femenino,35-54,171.0
2008,82,Tumores ,femenino,35-54,318.0
2021,82,Tumores ,masculino,35-54,272.0
2014,82,Tumores ,femenino,35-54,373.0
2019,14,Tumores ,femenino,35-54,353.0
2012,82,Tumores ,masculino,35-54,346.0
2008,50,Tumores ,femenino,35-54,192.0
